html,url
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/nieuws
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/43700/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1193891/43700/gemeenteraadsverkiezingen-21-maart-2018.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1109980/43700/dank-voor-uw-stem.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1109024/43700/lintjes.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1106421/43700/christenunie-stelt-kamervragen-over-gaswinning-heerenveen.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/1089391/43700/laat-weten-wat-jouw-school-bijzonder-maakt.html
<200 https://heerenveen.christenunie.nl/nieuws>,https://heerenveen.christenunie.nl/k/n2531/news/view/586306/43700/christenunie-behoudt-2-zetels.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/1197110/184837/politiek-debat-in-heerenveen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/1197108/184837/politiek-debat-in-akkrum.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/184837/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/1197107/184837/politiek-debat-in-jubbega.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1193891/43700/gemeenteraadsverkiezingen-21-maart-2018.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1193891/43700/gemeenteraadsverkiezingen-21-maart-2018.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1193891/43700/gemeenteraadsverkiezingen-21-maart-2018.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018/2
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1089391/43700/laat-weten-wat-jouw-school-bijzonder-maakt.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1089391/43700/laat-weten-wat-jouw-school-bijzonder-maakt.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017/2
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1109980/43700/dank-voor-uw-stem.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/586306/43700/christenunie-behoudt-2-zetels.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/586306/43700/christenunie-behoudt-2-zetels.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/11
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/586306/43700/christenunie-behoudt-2-zetels.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/585220/43700/lijsttrekker-christenunie-sluit-dorpenmarathon-af-in-heerenveen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/586306/43700/christenunie-behoudt-2-zetels.html>,https://heerenveen.christenunie.nl/k/n2531/news/view/579897/43700/christenunie-wil-prostitutiebeleid-op-de-agenda.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/view/1197111/43700/politieke-debatten-in-jubbega-akkrum-en-heerenveen.html>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2017
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2013
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2012
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2011
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2010
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2009
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2008
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2007
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2006
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2012
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2011
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2010
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2009
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2007
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2006
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2004
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2017/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/10
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/08
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/06
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2018/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2004>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2004/12
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2004>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2004/10
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/10
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/02>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/2
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2018/02>,https://heerenveen.christenunie.nl/k/n2531/news/view/1193891/184837/gemeenteraadsverkiezingen-21-maart-2018.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/12
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/10
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2006>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2006/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2006>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2006/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005/10
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005/05
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2005/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2006>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2006/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2006>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2006/02
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/11
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/09
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/05
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/03
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/01
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2007>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2007/01
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2007>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2007/01
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/03>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/552700/43700/fractie-in-actie-op-zorgboerderij-boerenblij.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/551475/43700/christenunie-en-cda-komen-op-voor-kleine-scholen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/06>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/6
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/06>,https://heerenveen.christenunie.nl/k/n2531/news/view/560240/43700/leijendekker-lijsttrekker-christenunie.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/02>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/2
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/02>,https://heerenveen.christenunie.nl/k/n2531/news/view/549952/43700/plaatselijk-belangen-wijkraden-en-eigen-initiatieven.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/08>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/8
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/08>,https://heerenveen.christenunie.nl/k/n2531/news/view/566740/43700/het-is-bijna-zover.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/36883/184837/onze-prioriteiten-in-heerenveen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/36882/184837/holland-casino-in-heerenveen-niet-doen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/36881/184837/helder-beleid-voor-windenergie.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/36880/184837/college-blijft-vaag-over-financiering-bijzonder-basisonderwijs.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/36879/184837/ruim-baan-voor-woonzorgcomplexen-in-dorpen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/9
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/573833/43700/lijsttrekker-christenunie-rennend-door-heerenveense-dorpen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/572961/43700/lia-de-heij-nummer-2-van-de-kanditatenlijst-stelt-zich-voor.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/572064/43700/interview-lijstrekker-aris-leijendekker-met-jongerensite-ondertussen-nl.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/571076/43700/de-kandidatenlijst-voor-de-gemeenteraadsverkiezingen-op-13-november-2013.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2013/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/570601/43700/zaterdag-14-september-speed-d(eb)ate-met-aris-leijendekker.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05>,https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/5
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05>,https://heerenveen.christenunie.nl/k/n2531/news/view/36887/184837/wethouder-toont-zich-slechte-verliezer.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05>,https://heerenveen.christenunie.nl/k/n2531/news/view/36886/184837/wegomlegging-bontebok-eerst-mensen-dan-bomen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05>,https://heerenveen.christenunie.nl/k/n2531/news/view/36885/184837/holland-casino-in-heerenveen-gelukkig-niet.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/05>,https://heerenveen.christenunie.nl/k/n2531/news/view/36884/184837/ontsluitingsweg-te-duur.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/10>,https://heerenveen.christenunie.nl/k/n2531/news/view/36875/184837/begroting-voor-het-eerst-in-nieuwe-opzet.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/10>,https://heerenveen.christenunie.nl/k/n2531/news/view/36874/184837/motie-om-onderzoek-naar-aanpassing-tunnel-aangenomen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/10>,https://heerenveen.christenunie.nl/k/n2531/news/view/36873/184837/geen-steun-aan-motie-van-wantrouwen.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/12>,https://heerenveen.christenunie.nl/k/n2531/news/view/36878/184837/iraakse-familie-voorlopig-nog-onderdak.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/12>,https://heerenveen.christenunie.nl/k/n2531/news/view/36877/184837/gemeentelijke-lasten-mogen-in-2006-niet-omhoog.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2004/12>,https://heerenveen.christenunie.nl/k/n2531/news/view/36876/184837/burgemeester-goed-in-gesprek-met-moslims.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/05>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/5
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/05>,https://heerenveen.christenunie.nl/k/n2531/news/view/289766/43700/beediging-aris-leijendekker.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/03>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/3
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/03>,https://heerenveen.christenunie.nl/k/n2531/news/view/199554/43700/wisseling-in-de-fractie.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/09>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/9
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/306300/43700/nog-geen-streep-onder-slepende-kwestie.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/09>,https://heerenveen.christenunie.nl/k/n2531/news/view/302646/43700/vluchtelingenwerk-druk-met-coaching-van-de-pardonners.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/184837/2005/10>,https://heerenveen.christenunie.nl/k/n2531/news/view/36888/184837/feestelijke-presentatie-nieuwe-lijsttrekker-en-verkiezingsprogramma.html
<200 https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/01>,https://heerenveen.christenunie.nl/k/n2531/news/archive/43700/2008/1
